name,dex_num,fling_power,ignored_by_klutz,category,description
Qualot Berry,171,0,0,"[""isBerry""]",Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.
Quick Ball,15,0,0,[],A Poke Ball that provides a better catch rate at the start of a wild encounter.
Quick Claw,217,80,0,[],"Each turn, holder has a 20% chance to move first in its priority bracket."
Quick Powder,274,10,0,[],"If held by a Ditto that hasn't Transformed, its Speed is doubled."
Rabuta Berry,177,0,0,"[""isBerry""]",Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.
Rare Bone,106,100,0,[],No competitive use other than when used with Fling.
Rawst Berry,152,0,0,"[""isBerry""]",Holder is cured if it is burned. Single use.
Razor Claw,326,80,0,[],Holder's critical hit ratio is raised by 1 stage.
Razor Fang,327,30,0,[],Holder's attacks without a chance to flinch gain a 10% chance to flinch.
Razz Berry,164,0,0,"[""isBerry""]",Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.
Reaper Cloth,325,10,0,[],Evolves Dusclops into Dusknoir when traded.
Red Card,542,10,0,[],"If holder survives a hit, attacker is forced to switch to a random ally. Single use."
Red Orb,534,0,0,[],"If held by a Groudon, this item triggers its Primal Reversion in battle."
Repeat Ball,9,0,0,[],A Poke Ball that works well on Pokemon species that were previously caught.
Ribbon Sweet,1115,10,0,[],Evolves Milcery into Alcremie when held and spun around.
Rindo Berry,187,0,0,"[""isBerry""]",Halves damage taken from a supereffective Grass-type attack. Single use.
Ring Target,543,10,0,[],The holder's type immunities granted solely by its typing are negated.
Rock Gem,559,0,0,"[""isGem""]",Holder's first successful Rock-type attack will have 1.3x power. Single use.
Rock Incense,315,10,0,[],Holder's Rock-type attacks have 1.2x power.
Rock Memory,908,0,0,[],Holder's Multi-Attack is Rock type.
Rockium Z,788,0,0,"[""zMove""]","If holder has a Rock move, this item allows it to use a Rock Z-Move."
Rocky Helmet,540,60,0,[],"If holder is hit by a contact move, the attacker loses 1/6 of its max HP."
Room Service,1122,100,0,[],"If Trick Room is active, the holder's Speed is lowered by 1 stage. Single use."
Root Fossil,99,100,0,[],Can be revived into Lileep.
Rose Incense,318,10,0,[],Holder's Grass-type attacks have 1.2x power.
Roseli Berry,686,0,0,"[""isBerry""]",Halves damage taken from a supereffective Fairy-type attack. Single use.
Rowap Berry,212,0,0,"[""isBerry""]","If holder is hit by a special move, attacker loses 1/8 of its max HP. Single use."
Rusted Shield,1104,0,0,[],"If held by a Zamazenta, this item changes its forme to Crowned Shield."
Rusted Sword,1103,0,0,[],"If held by a Zacian, this item changes its forme to Crowned Sword."
Sablenite,754,0,0,[],"If held by a Sableye, this item allows it to Mega Evolve in battle."
Sachet,647,80,0,[],Evolves Spritzee into Aromatisse when traded.
Safari Ball,5,0,0,[],A special Poke Ball that is used only in the Safari Zone and Great Marsh.
Safety Goggles,650,80,0,[],Holder is immune to powder moves and damage from Sandstorm or Hail.
Sail Fossil,711,100,0,[],Can be revived into Amaura.
Salac Berry,203,0,0,"[""isBerry""]",Raises holder's Speed by 1 stage when at 1/4 max HP or less. Single use.
Salamencite,769,0,0,[],"If held by a Salamence, this item allows it to Mega Evolve in battle."
Sceptilite,753,0,0,[],"If held by a Sceptile, this item allows it to Mega Evolve in battle."
Scizorite,670,0,0,[],"If held by a Scizor, this item allows it to Mega Evolve in battle."
Scope Lens,232,30,0,[],Holder's critical hit ratio is raised by 1 stage.
Sea Incense,254,10,0,[],Holder's Water-type attacks have 1.2x power.
Sharp Beak,244,50,0,[],Holder's Flying-type attacks have 1.2x power.
Sharpedonite,759,0,0,[],"If held by a Sharpedo, this item allows it to Mega Evolve in battle."
Shed Shell,295,10,0,[],Holder cannot be prevented from choosing to switch out by any effect.
Shell Bell,253,30,0,[],"After an attack, holder gains 1/8 of the damage in HP dealt to other Pokemon."
Shiny Stone,107,80,0,[],Evolves certain species of Pokemon when used.
Shock Drive,117,0,0,[],Holder's Techno Blast is Electric type.
Shuca Berry,191,0,0,"[""isBerry""]",Halves damage taken from a supereffective Ground-type attack. Single use.
Silk Scarf,251,10,0,[],Holder's Normal-type attacks have 1.2x power.
Silver Powder,222,10,0,[],Holder's Bug-type attacks have 1.2x power.
Sitrus Berry,158,0,0,"[""isBerry""]",Restores 1/4 max HP when at 1/2 max HP or less. Single use.
Skull Fossil,105,100,0,[],Can be revived into Cranidos.
Sky Plate,306,0,0,[],Holder's Flying-type attacks have 1.2x power. Judgment is Flying type.
Slowbronite,760,0,0,[],"If held by a Slowbro, this item allows it to Mega Evolve in battle."
Smooth Rock,283,10,0,[],Holder's use of Sandstorm lasts 8 turns instead of 5.
Snorlium Z,804,0,0,"[""zMove""]","If held by a Snorlax with Giga Impact, it can use Pulverizing Pancake."
Snowball,649,30,0,[],Raises holder's Attack by 1 if hit by an Ice-type attack. Single use.
Soft Sand,237,10,0,[],Holder's Ground-type attacks have 1.2x power.
Solganium Z,921,0,0,"[""zMove""]",Solgaleo or Dusk Mane Necrozma with Sunsteel Strike can use a special Z-Move.
Soul Dew,225,30,0,[],"If held by a Latias/Latios, its Dragon- and Psychic-type moves have 1.2x power."
Spell Tag,247,30,0,[],Holder's Ghost-type attacks have 1.2x power.
Spelon Berry,179,0,0,"[""isBerry""]",Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.
Splash Plate,299,0,0,[],Holder's Water-type attacks have 1.2x power. Judgment is Water type.
Spooky Plate,310,0,0,[],Holder's Ghost-type attacks have 1.2x power. Judgment is Ghost type.
Sport Ball,499,0,0,[],A special Poke Ball for the Bug-Catching Contest.
Starf Berry,207,0,0,"[""isBerry""]",Raises a random stat by 2 when at 1/4 max HP or less (not acc/eva). Single use.
Star Sweet,1114,10,0,[],Evolves Milcery into Alcremie when held and spun around.
Steelixite,761,0,0,[],"If held by a Steelix, this item allows it to Mega Evolve in battle."
Steel Gem,563,0,0,"[""isGem""]",Holder's first successful Steel-type attack will have 1.3x power. Single use.
Steel Memory,911,0,0,[],Holder's Multi-Attack is Steel type.
Steelium Z,792,0,0,"[""zMove""]","If holder has a Steel move, this item allows it to use a Steel Z-Move."
Stick,259,60,0,[],"If held by a Farfetch’d, its critical hit ratio is raised by 2 stages."
Sticky Barb,288,80,0,[],"Each turn, holder loses 1/8 max HP. An attacker making contact can receive it."
Stone Plate,309,0,0,[],Holder's Rock-type attacks have 1.2x power. Judgment is Rock type.
Strange Ball,1785,0,0,[],Placeholder if caught in Poke Ball not in current game.
Strawberry Sweet,1109,10,0,[],Evolves Milcery into Alcremie when held and spun around.
Sun Stone,80,30,0,[],Evolves certain species of Pokemon when used.
Swampertite,752,0,0,[],"If held by a Swampert, this item allows it to Mega Evolve in battle."
Sweet Apple,1116,30,0,[],Evolves Applin into Appletun when used.
Syrupy Apple,2402,30,0,[],Evolves Applin into Dipplin when used.
Tamato Berry,174,0,0,"[""isBerry""]",Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.
Tanga Berry,194,0,0,"[""isBerry""]",Halves damage taken from a supereffective Bug-type attack. Single use.
Tapunium Z,801,0,0,"[""zMove""]","If held by a Tapu with Nature's Madness, it can use Guardian of Alola."
Tart Apple,1117,30,0,[],Evolves Applin into Flapple when used.
Terrain Extender,879,60,0,[],Holder's use of Electric/Grassy/Misty/Psychic Terrain lasts 8 turns instead of 5.
Thick Club,258,90,0,[],"If held by a Cubone or a Marowak, its Attack is doubled."
Throat Spray,1118,30,0,[],Raises holder's Special Attack by 1 stage after it uses a sound move. Single use.
Thunder Stone,83,30,0,[],Evolves certain species of Pokemon when used.
Timer Ball,10,0,0,[],A Poke Ball that becomes better the more turns there are in a battle.
Toxic Orb,272,30,0,[],"At the end of every turn, this item attempts to badly poison the holder."
Toxic Plate,304,0,0,[],Holder's Poison-type attacks have 1.2x power. Judgment is Poison type.
TR00,1130,10,0,[],Teaches certain Pokemon the move Swords Dance. One use.
TR01,1131,85,0,[],Teaches certain Pokemon the move Body Slam. One use.
TR02,1132,90,0,[],Teaches certain Pokemon the move Flamethrower. One use.
TR03,1133,110,0,[],Teaches certain Pokemon the move Hydro Pump. One use.
TR04,1134,90,0,[],Teaches certain Pokemon the move Surf. One use.
TR05,1135,90,0,[],Teaches certain Pokemon the move Ice Beam. One use.
TR06,1136,110,0,[],Teaches certain Pokemon the move Blizzard. One use.
TR07,1137,10,0,[],Teaches certain Pokemon the move Low Kick. One use.
TR08,1138,90,0,[],Teaches certain Pokemon the move Thunderbolt. One use.
TR09,1139,110,0,[],Teaches certain Pokemon the move Thunder. One use.
TR10,1140,100,0,[],Teaches certain Pokemon the move Earthquake. One use.
TR11,1141,90,0,[],Teaches certain Pokemon the move Psychic. One use.
TR12,1142,10,0,[],Teaches certain Pokemon the move Agility. One use.
TR13,1143,10,0,[],Teaches certain Pokemon the move Focus Energy. One use.
TR14,1144,10,0,[],Teaches certain Pokemon the move Metronome. One use.
TR15,1145,110,0,[],Teaches certain Pokemon the move Fire Blast. One use.
TR16,1146,80,0,[],Teaches certain Pokemon the move Waterfall. One use.
TR17,1147,10,0,[],Teaches certain Pokemon the move Amnesia. One use.
TR18,1148,80,0,[],Teaches certain Pokemon the move Leech Life. One use.
TR19,1149,80,0,[],Teaches certain Pokemon the move Tri Attack. One use.
TR20,1150,10,0,[],Teaches certain Pokemon the move Substitute. One use.
TR21,1151,10,0,[],Teaches certain Pokemon the move Reversal. One use.
TR22,1152,90,0,[],Teaches certain Pokemon the move Sludge Bomb. One use.
TR23,1153,10,0,[],Teaches certain Pokemon the move Spikes. One use.
TR24,1154,120,0,[],Teaches certain Pokemon the move Outrage. One use.
TR25,1155,80,0,[],Teaches certain Pokemon the move Psyshock. One use.
TR26,1156,10,0,[],Teaches certain Pokemon the move Endure. One use.
TR27,1157,10,0,[],Teaches certain Pokemon the move Sleep Talk. One use.
TR28,1158,120,0,[],Teaches certain Pokemon the move Megahorn. One use.
TR29,1159,10,0,[],Teaches certain Pokemon the move Baton Pass. One use.
TR30,1160,10,0,[],Teaches certain Pokemon the move Encore. One use.
TR31,1161,100,0,[],Teaches certain Pokemon the move Iron Tail. One use.
TR32,1162,80,0,[],Teaches certain Pokemon the move Crunch. One use.
TR33,1163,80,0,[],Teaches certain Pokemon the move Shadow Ball. One use.
TR34,1164,120,0,[],Teaches certain Pokemon the move Future Sight. One use.
TR35,1165,90,0,[],Teaches certain Pokemon the move Uproar. One use.
TR36,1166,95,0,[],Teaches certain Pokemon the move Heat Wave. One use.
TR37,1167,10,0,[],Teaches certain Pokemon the move Taunt. One use.
TR38,1168,10,0,[],Teaches certain Pokemon the move Trick. One use.
TR39,1169,120,0,[],Teaches certain Pokemon the move Superpower. One use.
TR40,1170,10,0,[],Teaches certain Pokemon the move Skill Swap. One use.
TR41,1171,85,0,[],Teaches certain Pokemon the move Blaze Kick. One use.
TR42,1172,90,0,[],Teaches certain Pokemon the move Hyper Voice. One use.
TR43,1173,130,0,[],Teaches certain Pokemon the move Overheat. One use.
TR44,1174,10,0,[],Teaches certain Pokemon the move Cosmic Power. One use.
TR45,1175,90,0,[],Teaches certain Pokemon the move Muddy Water. One use.
TR46,1176,10,0,[],Teaches certain Pokemon the move Iron Defense. One use.
TR47,1177,80,0,[],Teaches certain Pokemon the move Dragon Claw. One use.
TR48,1178,10,0,[],Teaches certain Pokemon the move Bulk Up. One use.
TR49,1179,10,0,[],Teaches certain Pokemon the move Calm Mind. One use.
TR50,1180,90,0,[],Teaches certain Pokemon the move Leaf Blade. One use.
TR51,1181,10,0,[],Teaches certain Pokemon the move Dragon Dance. One use.
TR52,1182,10,0,[],Teaches certain Pokemon the move Gyro Ball. One use.
TR53,1183,120,0,[],Teaches certain Pokemon the move Close Combat. One use.
TR54,1184,10,0,[],Teaches certain Pokemon the move Toxic Spikes. One use.
TR55,1185,120,0,[],Teaches certain Pokemon the move Flare Blitz. One use.
TR56,1186,80,0,[],Teaches certain Pokemon the move Aura Sphere. One use.
TR57,1187,80,0,[],Teaches certain Pokemon the move Poison Jab. One use.
TR58,1188,80,0,[],Teaches certain Pokemon the move Dark Pulse. One use.
TR59,1189,80,0,[],Teaches certain Pokemon the move Seed Bomb. One use.
TR60,1190,80,0,[],Teaches certain Pokemon the move X-Scissor. One use.
TR61,1191,90,0,[],Teaches certain Pokemon the move Bug Buzz. One use.
TR62,1192,85,0,[],Teaches certain Pokemon the move Dragon Pulse. One use.
TR63,1193,80,0,[],Teaches certain Pokemon the move Power Gem. One use.
TR64,1194,120,0,[],Teaches certain Pokemon the move Focus Blast. One use.
TR65,1195,90,0,[],Teaches certain Pokemon the move Energy Ball. One use.
TR66,1196,120,0,[],Teaches certain Pokemon the move Brave Bird. One use.
TR67,1197,90,0,[],Teaches certain Pokemon the move Earth Power. One use.
TR68,1198,10,0,[],Teaches certain Pokemon the move Nasty Plot. One use.
TR69,1199,80,0,[],Teaches certain Pokemon the move Zen Headbutt. One use.
TR70,1200,80,0,[],Teaches certain Pokemon the move Flash Cannon. One use.
TR71,1201,130,0,[],Teaches certain Pokemon the move Leaf Storm. One use.
TR72,1202,120,0,[],Teaches certain Pokemon the move Power Whip. One use.
TR73,1203,120,0,[],Teaches certain Pokemon the move Gunk Shot. One use.
TR74,1204,80,0,[],Teaches certain Pokemon the move Iron Head. One use.
TR75,1205,100,0,[],Teaches certain Pokemon the move Stone Edge. One use.
TR76,1206,10,0,[],Teaches certain Pokemon the move Stealth Rock. One use.
TR77,1207,10,0,[],Teaches certain Pokemon the move Grass Knot. One use.
TR78,1208,95,0,[],Teaches certain Pokemon the move Sludge Wave. One use.
TR79,1209,10,0,[],Teaches certain Pokemon the move Heavy Slam. One use.
TR80,1210,10,0,[],Teaches certain Pokemon the move Electro Ball. One use.
TR81,1211,95,0,[],Teaches certain Pokemon the move Foul Play. One use.
TR82,1212,20,0,[],Teaches certain Pokemon the move Stored Power. One use.
TR83,1213,10,0,[],Teaches certain Pokemon the move Ally Switch. One use.
TR84,1214,80,0,[],Teaches certain Pokemon the move Scald. One use.
TR85,1215,10,0,[],Teaches certain Pokemon the move Work Up. One use.
TR86,1216,90,0,[],Teaches certain Pokemon the move Wild Charge. One use.
TR87,1217,80,0,[],Teaches certain Pokemon the move Drill Run. One use.
TR88,1218,10,0,[],Teaches certain Pokemon the move Heat Crash. One use.
TR89,1219,110,0,[],Teaches certain Pokemon the move Hurricane. One use.
TR90,1220,90,0,[],Teaches certain Pokemon the move Play Rough. One use.
TR91,1221,10,0,[],Teaches certain Pokemon the move Venom Drench. One use.
TR92,1222,80,0,[],Teaches certain Pokemon the move Dazzling Gleam. One use.
TR93,1223,85,0,[],Teaches certain Pokemon the move Darkest Lariat. One use.
TR94,1224,95,0,[],Teaches certain Pokemon the move High Horsepower. One use.
TR95,1225,80,0,[],Teaches certain Pokemon the move Throat Chop. One use.
TR96,1226,90,0,[],Teaches certain Pokemon the move Pollen Puff. One use.
TR97,1227,85,0,[],Teaches certain Pokemon the move Psychic Fangs. One use.
TR98,1228,85,0,[],Teaches certain Pokemon the move Liquidation. One use.
TR99,1229,80,0,[],Teaches certain Pokemon the move Body Press. One use.
Twisted Spoon,248,30,0,[],Holder's Psychic-type attacks have 1.2x power.
Tyranitarite,669,0,0,[],"If held by a Tyranitar, this item allows it to Mega Evolve in battle."
Ultra Ball,2,0,0,[],An ultra-performance Ball that provides a higher catch rate than a Great Ball.
Ultranecrozium Z,923,0,0,"[""zMove""]","Dusk Mane/Dawn Wings Necrozma: Ultra Burst, then Z-Move w/ Photon Geyser."
Unremarkable Teacup,2403,80,0,[],Evolves Poltchageist into Sinistcha when used.
Up-Grade,252,30,0,[],Evolves Porygon into Porygon2 when traded.
Utility Umbrella,1123,60,0,[],The holder ignores rain- and sun-based effects.
Venusaurite,659,0,0,[],"If held by a Venusaur, this item allows it to Mega Evolve in battle."
Wacan Berry,186,0,0,"[""isBerry""]",Halves damage taken from a supereffective Electric-type attack. Single use.
Water Gem,549,0,0,"[""isGem""]",Holder's first successful Water-type attack will have 1.3x power. Single use.
Water Memory,913,0,0,[],Holder's Multi-Attack is Water type.
Water Stone,84,30,0,[],Evolves certain species of Pokemon when used.
Waterium Z,778,0,0,"[""zMove""]","If holder has a Water move, this item allows it to use a Water Z-Move."
Watmel Berry,181,0,0,"[""isBerry""]",Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.
Wave Incense,317,10,0,[],Holder's Water-type attacks have 1.2x power.
Weakness Policy,639,80,0,[],"If holder is hit super effectively, raises Attack, Sp. Atk by 2 stages. Single use."
Wellspring Mask,2407,60,0,[],Ogerpon-Wellspring: 1.2x power attacks; Terastallize to gain Embody Aspect.
Wepear Berry,167,0,0,"[""isBerry""]",Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.
Whipped Dream,646,80,0,[],Evolves Swirlix into Slurpuff when traded.
White Herb,214,10,0,[],Restores all lowered stat stages to 0 when one is less than 0. Single use.
Wide Lens,265,10,0,[],The accuracy of attacks by the holder is 1.1x.
Wiki Berry,160,0,0,"[""isBerry""]",Restores 1/3 max HP at 1/4 max HP or less; confuses if -SpA Nature. Single use.
Wise Glasses,267,10,0,[],Holder's special attacks have 1.1x power.
Yache Berry,188,0,0,"[""isBerry""]",Halves damage taken from a supereffective Ice-type attack. Single use.
Zap Plate,300,0,0,[],Holder's Electric-type attacks have 1.2x power. Judgment is Electric type.
Zoom Lens,276,10,0,[],The accuracy of attacks by the holder is 1.2x if it moves after its target.
Berserk Gene,0,0,0,[],"(Gen 2) On switch-in, raises holder's Attack by 2 and confuses it. Single use."
Berry,155,0,0,"[""isBerry""]",(Gen 2) Restores 10 HP when at 1/2 max HP or less. Single use.
Bitter Berry,156,0,0,"[""isBerry""]",(Gen 2) Holder is cured if it is confused. Single use.
Burnt Berry,153,0,0,"[""isBerry""]",(Gen 2) Holder is cured if it is frozen. Single use.
Gold Berry,158,0,0,"[""isBerry""]",(Gen 2) Restores 30 HP when at 1/2 max HP or less. Single use.
Ice Berry,152,0,0,"[""isBerry""]",(Gen 2) Holder is cured if it is burned. Single use.
Mint Berry,150,0,0,"[""isBerry""]",(Gen 2) Holder wakes up if it is asleep. Single use.
Miracle Berry,157,0,0,"[""isBerry""]",(Gen 2) Holder cures itself if it is confused or has a status condition. Single use.
Mystery Berry,154,0,0,"[""isBerry""]",(Gen 2) Restores 5 PP to the first of the holder's moves to reach 0 PP. Single use.
Pink Bow,251,0,0,[],(Gen 2) Holder's Normal-type attacks have 1.1x power.
Polkadot Bow,251,0,0,[],(Gen 2) Holder's Normal-type attacks have 1.1x power.
PRZ Cure Berry,149,0,0,"[""isBerry""]",(Gen 2) Holder cures itself if it is paralyzed. Single use.
PSN Cure Berry,151,0,0,"[""isBerry""]",(Gen 2) Holder is cured if it is poisoned. Single use.
Crucibellite,-1,0,0,[],"If held by a Crucibelle, this item allows it to Mega Evolve in battle."
Vile Vial,-2,60,0,[],"If held by a Venomicon, its Poison- and Flying-type attacks have 1.2x power."
