name,type,dex_num,category,target,power,accuracy,priority,pp,short_description,long_description,has_secondary_effect,is_multi_hit,multi_hit_high,multi_hit_low,ignores_substitute,ignores_protect,bounceable,bite,bullet,contact,dance,heal,powder,pulse,punch,slice,sound,wind,boosted_by_sheer_force,ohko,is_z_move,is_max_move,is_legal
Discharge,"""Electric""",435,Special,allAdjacent,80,100,0,15,30% chance to paralyze adjacent Pokemon.,Has a 30% chance to paralyze the target.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Dire Claw,"""Poison""",827,Physical,normal,80,100,0,15,"50% chance to sleep, poison, or paralyze target.","Has a 50% chance to cause the target to either fall asleep, become poisoned, or become paralyzed.",1,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Dive,"""Water""",291,Physical,normal,80,100,0,10,"Dives underwater turn 1, strikes turn 2.","This attack charges on the first turn and executes on the second. On the first turn, the user avoids all attacks other than Surf and Whirlpool but takes double damage from them, and is also unaffected by weather. If the user is holding a Power Herb, the move completes in one turn.",0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Dizzy Punch,"""Normal""",146,Physical,normal,70,100,0,10,20% chance to confuse the target.,Has a 20% chance to confuse the target.,1,0,,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Doodle,"""Normal""",867,Status,adjacentFoe,0,100,0,10,User and ally's Abilities become target's Ability.,"The user and its ally's Abilities change to match the target's Ability. Does not change Ability if the user's or its ally's is As One, Battle Bond, Comatose, Disguise, Gulp Missile, Ice Face, Multitype, Power Construct, RKS System, Schooling, Shields Down, Stance Change, Tera Shift, Zen Mode, Zero to Hero, or already matches the target. Fails if both the user and its ally's Ability already matches the target, or if the target's Ability is As One, Battle Bond, Comatose, Commander, Disguise, Embody Aspect, Flower Gift, Forecast, Hunger Switch, Ice Face, Illusion, Imposter, Multitype, Neutralizing Gas, Poison Puppeteer, Power Construct, Power of Alchemy, Protosynthesis, Quark Drive, Receiver, RKS System, Schooling, Shields Down, Stance Change, Tera Shell, Tera Shift, Teraform Zero, Trace, Wonder Guard, Zen Mode, or Zero to Hero.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Doom Desire,"""Steel""",353,Special,normal,140,100,0,5,Hits two turns after being used.,"Deals damage two turns after this move is used. At the end of that turn, the damage is calculated at that time and dealt to the Pokemon at the position the target had when the move was used. If the user is no longer active at the time, damage is calculated based on the user's natural Special Attack stat, types, and level, with no boosts from its held item or Ability. Fails if this move or Future Sight is already in effect for the target's position.",0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Double-Edge,"""Normal""",38,Physical,normal,120,100,0,15,Has 33% recoil.,"If the target lost HP, the user takes recoil damage equal to 33% the HP lost by the target, rounded half up, but not less than 1 HP.",0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Double Hit,"""Normal""",458,Physical,normal,35,90,0,10,Hits 2 times in one turn.,"Hits twice. If the first hit breaks the target's substitute, it will take damage for the second hit.",0,1,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Double Iron Bash,"""Steel""",742,Physical,normal,60,100,0,5,Hits twice. 30% chance to make the target flinch.,"Hits twice. If the first hit breaks the target's substitute, it will take damage for the second hit. Has a 30% chance to make the target flinch.",1,1,,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Double Kick,"""Fighting""",24,Physical,normal,30,100,0,30,Hits 2 times in one turn.,"Hits twice. If the first hit breaks the target's substitute, it will take damage for the second hit.",0,1,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Double Shock,"""Electric""",892,Physical,normal,120,100,0,5,User's Electric type: typeless; must be Electric.,"Fails unless the user is an Electric type. If this move is successful and the user is not Terastallized, the user's Electric type becomes typeless as long as it remains active.",0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Double Slap,"""Normal""",3,Physical,normal,15,85,0,10,Hits 2-5 times in one turn.,"Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times.",0,1,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Double Team,"""Normal""",104,Status,self,0,-1,0,15,Raises the user's evasiveness by 1.,Raises the user's evasiveness by 1 stage.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Draco Meteor,"""Dragon""",434,Special,normal,130,90,0,5,Lowers the user's Sp. Atk by 2.,Lowers the user's Special Attack by 2 stages.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dragon Ascent,"""Flying""",620,Physical,any,120,100,0,5,Lowers the user's Defense and Sp. Def by 1.,Lowers the user's Defense and Special Defense by 1 stage.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Dragon Breath,"""Dragon""",225,Special,normal,60,100,0,20,30% chance to paralyze the target.,Has a 30% chance to paralyze the target.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Dragon Cheer,"""Dragon""",913,Status,adjacentAlly,0,-1,0,15,"Ally: Crit ratio +1, or +2 if ally is Dragon type.","Raises the target's chance for a critical hit by 1 stage, or by 2 stages if the target is Dragon type. Fails if there is no ally adjacent to the user, or if the target already has this effect or the Focus Energy effect. Baton Pass can be used to transfer this effect to an ally.",0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dragon Claw,"""Dragon""",337,Physical,normal,80,100,0,15,No additional effect.,No additional effect.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Dragon Dance,"""Dragon""",349,Status,self,0,-1,0,20,Raises the user's Attack and Speed by 1.,Raises the user's Attack and Speed by 1 stage.,0,0,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Dragon Darts,"""Dragon""",751,Physical,normal,50,100,0,10,Hits twice. Doubles: Tries to hit each foe once.,"Hits twice. If the first hit breaks the target's substitute, it will take damage for the second hit. In Double Battles, this move attempts to hit the targeted Pokemon and its ally once each. If hitting one of these Pokemon would be prevented by immunity, protection, semi-invulnerability, an Ability, or accuracy, it attempts to hit the other Pokemon twice instead. If this move is redirected, it hits that target twice.",0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dragon Energy,"""Dragon""",820,Special,allAdjacentFoes,150,100,0,5,Less power as user's HP decreases. Hits foe(s).,"Power is equal to (user's current HP * 150 / user's maximum HP), rounded down, but not less than 1.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dragon Hammer,"""Dragon""",692,Physical,normal,90,100,0,15,No additional effect.,No additional effect.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Dragon Pulse,"""Dragon""",406,Special,any,85,100,0,10,No additional effect.,No additional effect.,0,0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Dragon Rage,"""Dragon""",82,Special,normal,0,100,0,10,Deals 40 HP of damage to the target.,Deals 40 HP of damage to the target.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dragon Rush,"""Dragon""",407,Physical,normal,100,75,0,10,20% chance to make the target flinch.,Has a 20% chance to make the target flinch. Damage doubles and no accuracy check is done if the target has used Minimize while active.,1,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Dragon Tail,"""Dragon""",525,Physical,normal,60,90,-6,10,Forces the target to switch to a random ally.,"If both the user and the target have not fainted, the target is forced to switch out and be replaced with a random unfainted ally. This effect fails if the target used Ingrain previously, has the Suction Cups Ability, or this move hit a substitute.",0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Draining Kiss,"""Fairy""",577,Special,normal,50,100,0,10,User recovers 75% of the damage dealt.,"The user recovers 3/4 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down.",0,0,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Drain Punch,"""Fighting""",409,Physical,normal,75,100,0,10,User recovers 50% of the damage dealt.,"The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down.",0,0,,,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
Dream Eater,"""Psychic""",138,Special,normal,100,100,0,15,User gains 1/2 HP inflicted. Sleeping target only.,"The target is unaffected by this move unless it is asleep. The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down.",0,0,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Drill Peck,"""Flying""",65,Physical,any,80,100,0,20,No additional effect.,No additional effect.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Drill Run,"""Ground""",529,Physical,normal,80,95,0,10,High critical hit ratio.,Has a higher chance for a critical hit.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Drum Beating,"""Grass""",778,Physical,normal,80,100,0,10,100% chance to lower the target's Speed by 1.,Has a 100% chance to lower the target's Speed by 1 stage.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Dual Chop,"""Dragon""",530,Physical,normal,40,90,0,15,Hits 2 times in one turn.,"Hits twice. If the first hit breaks the target's substitute, it will take damage for the second hit.",0,1,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Wingbeat,"""Flying""",814,Physical,normal,40,90,0,10,Hits 2 times in one turn.,"Hits twice. If the first hit breaks the target's substitute, it will take damage for the second hit.",0,1,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Dynamax Cannon,"""Dragon""",744,Special,normal,100,100,0,5,No additional effect.,No additional effect.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dynamic Punch,"""Fighting""",223,Physical,normal,100,50,0,5,100% chance to confuse the target.,Has a 100% chance to confuse the target.,1,0,,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
Earth Power,"""Ground""",414,Special,normal,90,100,0,10,10% chance to lower the target's Sp. Def by 1.,Has a 10% chance to lower the target's Special Defense by 1 stage.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Earthquake,"""Ground""",89,Physical,allAdjacent,100,100,0,10,Hits adjacent Pokemon. Double damage on Dig.,Damage doubles if the target is using Dig.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Echoed Voice,"""Normal""",497,Special,normal,40,100,0,15,Power increases when used on consecutive turns.,"For every consecutive turn that this move is used by at least one Pokemon, this move's power is multiplied by the number of turns to pass, but not more than 5.",0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Eerie Impulse,"""Electric""",598,Status,normal,0,100,0,15,Lowers the target's Sp. Atk by 2.,Lowers the target's Special Attack by 2 stages.,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Eerie Spell,"""Psychic""",826,Special,normal,80,100,0,5,Removes 3 PP from the target's last move.,"If this move is successful and the user has not fainted, the target loses 3 PP from its last move.",1,0,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
Egg Bomb,"""Normal""",121,Physical,normal,100,75,0,10,No additional effect.,No additional effect.,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electric Terrain,"""Electric""",604,Status,all,0,-1,0,10,"5 turns. Grounded: +Electric power, can't sleep.","For 5 turns, the terrain becomes Electric Terrain. During the effect, the power of Electric-type attacks made by grounded Pokemon is multiplied by 1.3 and grounded Pokemon cannot fall asleep; Pokemon already asleep do not wake up. Grounded Pokemon cannot become affected by Yawn or fall asleep from its effect. Camouflage transforms the user into an Electric type, Nature Power becomes Thunderbolt, and Secret Power has a 30% chance to cause paralysis. Fails if the current terrain is Electric Terrain.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Electrify,"""Electric""",582,Status,normal,0,-1,0,20,Changes the target's move to Electric this turn.,"Causes the target's move to become Electric type this turn. Among effects that can change a move's type, this effect happens last. Fails if the target already moved this turn.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electro Ball,"""Electric""",486,Special,normal,0,100,0,10,More power the faster the user is than the target.,"The power of this move depends on (user's current Speed / target's current Speed), rounded down. Power is equal to 150 if the result is 4 or more, 120 if 3, 80 if 2, 60 if 1, 40 if less than 1. If the target's current Speed is 0, this move's power is 40.",0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Electro Drift,"""Electric""",879,Special,normal,100,100,0,5,Deals 1.3333x damage with supereffective hits.,Damage is multiplied by 1.3333 if this move is super effective against the target.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Electro Shot,"""Electric""",905,Special,normal,130,100,0,10,"Raises Sp. Atk by 1, hits turn 2. Rain: no charge.","This attack charges on the first turn and executes on the second. Raises the user's Special Attack by 1 stage on the first turn. If the user is holding a Power Herb or the weather is Primordial Sea or Rain Dance, the move completes in one turn. If the user is holding Utility Umbrella and the weather is Primordial Sea or Rain Dance, the move still requires a turn to charge.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Electroweb,"""Electric""",527,Special,allAdjacentFoes,55,95,0,15,100% chance to lower the foe(s) Speed by 1.,Has a 100% chance to lower the target's Speed by 1 stage.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Embargo,"""Dark""",373,Status,normal,0,100,0,15,"For 5 turns, the target's item has no effect.","For 5 turns, the target's held item has no effect. An item's effect of causing forme changes is unaffected, but any other effects from such items are negated. During the effect, Fling and Natural Gift are prevented from being used by the target. Items thrown at the target with Fling will still activate for it. If the target uses Baton Pass, the replacement will remain unable to use items.",0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ember,"""Fire""",52,Special,normal,40,100,0,25,10% chance to burn the target.,Has a 10% chance to burn the target.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Encore,"""Normal""",227,Status,normal,0,100,0,5,Target repeats its last move for its next 3 turns.,"For its next 3 turns, the target is forced to repeat its last move used. If the affected move runs out of PP, the effect ends. Fails if the target is already under this effect, if it has not made a move, if the move has 0 PP, or if the move is Assist, Blazing Torque, Combat Torque, Copycat, Dynamax Cannon, Encore, Magical Torque, Me First, Metronome, Mimic, Mirror Move, Nature Power, Noxious Torque, Sketch, Sleep Talk, Struggle, Transform, or Wicked Torque.",0,0,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Endeavor,"""Normal""",283,Physical,normal,0,100,0,5,Lowers the target's HP to the user's HP.,Deals damage to the target equal to (target's current HP - user's current HP). The target is unaffected if its current HP is less than or equal to the user's current HP.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Endure,"""Normal""",203,Status,self,0,-1,4,10,User survives attacks this turn with at least 1 HP.,"The user will survive attacks made by other Pokemon during this turn with at least 1 HP. This move has a 1/X chance of being successful, where X starts at 1 and triples each time this move is successfully used. X resets to 1 if this move fails, if the user's last move used is not Baneful Bunker, Burning Bulwark, Detect, Endure, King's Shield, Max Guard, Obstruct, Protect, Quick Guard, Silk Trap, Spiky Shield, or Wide Guard, or if it was one of those moves and the user's protection was broken. Fails if the user moves last this turn.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Energy Ball,"""Grass""",412,Special,normal,90,100,0,10,10% chance to lower the target's Sp. Def by 1.,Has a 10% chance to lower the target's Special Defense by 1 stage.,1,0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Entrainment,"""Normal""",494,Status,normal,0,100,0,15,The target's Ability changes to match the user's.,"Causes the target's Ability to become the same as the user's. Fails if the target's Ability is As One, Battle Bond, Comatose, Disguise, Gulp Missile, Ice Face, Multitype, Power Construct, RKS System, Schooling, Shields Down, Stance Change, Tera Shift, Truant, Zen Mode, or Zero to Hero, or the same Ability as the user, or if the user's Ability is As One, Battle Bond, Comatose, Commander, Disguise, Embody Aspect, Flower Gift, Forecast, Hunger Switch, Ice Face, Illusion, Imposter, Multitype, Neutralizing Gas, Poison Puppeteer, Power Construct, Power of Alchemy, Protosynthesis, Quark Drive, Receiver, RKS System, Schooling, Shields Down, Stance Change, Tera Shell, Tera Shift, Teraform Zero, Trace, Wonder Guard, Zen Mode, or Zero to Hero.",0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Eruption,"""Fire""",284,Special,allAdjacentFoes,150,100,0,5,Less power as user's HP decreases. Hits foe(s).,"Power is equal to (user's current HP * 150 / user's maximum HP), rounded down, but not less than 1.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Esper Wing,"""Psychic""",840,Special,normal,80,100,0,10,100% chance to raise user Speed by 1. High crit.,Has a 100% chance to raise the user's Speed by 1 stage and a higher chance for a critical hit.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Eternabeam,"""Dragon""",795,Special,normal,160,90,0,5,User cannot move next turn.,"If this move is successful, the user must recharge on the following turn and cannot select a move.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Expanding Force,"""Psychic""",797,Special,normal,80,100,0,10,"User on Psychic Terrain: 1.5x power, hits foes.","If the current terrain is Psychic Terrain and the user is grounded, this move hits all opposing Pokemon and has its power multiplied by 1.5.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Explosion,"""Normal""",153,Physical,allAdjacent,250,100,0,5,Hits adjacent Pokemon. The user faints.,"The user faints after using this move, even if this move fails for having no target. This move is prevented from executing if any active Pokemon has the Damp Ability.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Extrasensory,"""Psychic""",326,Special,normal,80,100,0,20,10% chance to make the target flinch.,Has a 10% chance to make the target flinch.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Extreme Evoboost,"""Normal""",702,Status,self,0,-1,0,1,"Raises user's Atk, Def, SpA, SpD, and Spe by 2.","Raises the user's Attack, Defense, Special Attack, Special Defense, and Speed by 2 stages.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Extreme Speed,"""Normal""",245,Physical,normal,80,100,2,5,Nearly always goes first.,No additional effect.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Facade,"""Normal""",263,Physical,normal,70,100,0,20,Power doubles if user is burn/poison/paralyzed.,"Power doubles if the user is burned, paralyzed, or poisoned. The physical damage halving effect from the user's burn is ignored.",0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Fairy Lock,"""Fairy""",587,Status,all,0,-1,0,10,Prevents all Pokemon from switching next turn.,"Prevents all active Pokemon from switching next turn. A Pokemon can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Teleport, U-turn, or Volt Switch. Fails if the effect is already active.",0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fairy Wind,"""Fairy""",584,Special,normal,40,100,0,30,No additional effect.,No additional effect.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Fake Out,"""Normal""",252,Physical,normal,40,100,3,10,Hits first. First turn out only. 100% flinch chance.,Has a 100% chance to make the target flinch. Fails unless it is the user's first turn on the field.,1,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Fake Tears,"""Dark""",313,Status,normal,0,100,0,20,Lowers the target's Sp. Def by 2.,Lowers the target's Special Defense by 2 stages.,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
False Surrender,"""Dark""",793,Physical,normal,80,-1,0,10,This move does not check accuracy.,This move does not check accuracy.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
False Swipe,"""Normal""",206,Physical,normal,40,100,0,40,Always leaves the target with at least 1 HP.,Leaves the target with at least 1 HP.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Feather Dance,"""Flying""",297,Status,normal,0,100,0,15,Lowers the target's Attack by 2.,Lowers the target's Attack by 2 stages.,0,0,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Feint,"""Normal""",364,Physical,normal,30,100,2,10,"Nullifies Detect, Protect, and Quick/Wide Guard.","If this move is successful, it breaks through the target's Baneful Bunker, Detect, King's Shield, Protect, or Spiky Shield for this turn, allowing other Pokemon to attack the target normally. If the target's side is protected by Crafty Shield, Mat Block, Quick Guard, or Wide Guard, that protection is also broken for this turn and other Pokemon may attack the target's side normally.",0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Feint Attack,"""Dark""",185,Physical,normal,60,-1,0,20,This move does not check accuracy.,This move does not check accuracy.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fell Stinger,"""Bug""",565,Physical,normal,50,100,0,25,Raises user's Attack by 3 if this KOes the target.,Raises the user's Attack by 3 stages if this move knocks out the target.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Fickle Beam,"""Dragon""",907,Special,normal,80,100,0,5,Has a 30% chance this move's power is doubled.,Has a 30% chance this move's power is doubled.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fiery Dance,"""Fire""",552,Special,normal,80,100,0,10,50% chance to raise the user's Sp. Atk by 1.,Has a 50% chance to raise the user's Special Attack by 1 stage.,1,0,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Fiery Wrath,"""Dark""",822,Special,allAdjacentFoes,90,100,0,10,20% chance to make the foe(s) flinch.,Has a 20% chance to make the target flinch.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Fillet Away,"""Normal""",868,Status,self,0,-1,0,10,"+2 Attack, Sp. Atk, Speed for 1/2 user's max HP.","Raises the user's Attack, Special Attack, and Speed by 2 stages in exchange for the user losing 1/2 of its maximum HP, rounded down. Fails if the user would faint or if its Attack, Special Attack, and Speed stat stages would not change.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Final Gambit,"""Fighting""",515,Special,normal,0,100,0,5,Does damage equal to the user's HP. User faints.,"Deals damage to the target equal to the user's current HP. If this move is successful, the user faints.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fire Blast,"""Fire""",126,Special,normal,110,85,0,5,10% chance to burn the target.,Has a 10% chance to burn the target.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Fire Fang,"""Fire""",424,Physical,normal,65,95,0,15,10% chance to burn. 10% chance to flinch.,Has a 10% chance to burn the target and a 10% chance to make it flinch.,0,0,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Fire Lash,"""Fire""",680,Physical,normal,80,100,0,15,100% chance to lower the target's Defense by 1.,Has a 100% chance to lower the target's Defense by 1 stage.,1,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Fire Pledge,"""Fire""",519,Special,normal,80,100,0,10,Use with Grass or Water Pledge for added effect.,"If one of the user's allies chose to use Grass Pledge or Water Pledge this turn and has not moved yet, it takes its turn immediately after the user and the user's move does nothing. If combined with Grass Pledge, the ally uses Fire Pledge with 150 power and a sea of fire appears on the target's side for 4 turns, which causes damage to non-Fire types equal to 1/8 of their maximum HP, rounded down, at the end of each turn during effect, including the last turn. If combined with Water Pledge, the ally uses Water Pledge with 150 power and a rainbow appears on the user's side for 4 turns, which doubles secondary effect chances and stacks with the Serene Grace Ability, except effects that cause flinching can only have their chance doubled once. When used as a combined move, this move gains STAB no matter what the user's type is. This move does not consume the user's Fire Gem.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fire Punch,"""Fire""",7,Physical,normal,75,100,0,15,10% chance to burn the target.,Has a 10% chance to burn the target.,1,0,,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
Fire Spin,"""Fire""",83,Special,normal,35,85,0,15,Traps and damages the target for 4-5 turns.,"Prevents the target from switching for four or five turns (seven turns if the user is holding Grip Claw). Causes damage to the target equal to 1/8 of its maximum HP (1/6 if the user is holding Binding Band), rounded down, at the end of each turn during effect. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Shed Tail, Teleport, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field, or if the target uses Mortal Spin, Rapid Spin, or Substitute successfully. This effect is not stackable or reset by using this or another binding move.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
First Impression,"""Bug""",660,Physical,normal,90,100,2,10,Nearly always goes first. First turn out only.,Fails unless it is the user's first turn on the field.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Fishious Rend,"""Water""",755,Physical,normal,85,100,0,10,Power doubles if user moves before the target.,Power doubles if the user moves before the target.,0,0,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fissure,"""Ground""",90,Physical,normal,0,30,0,5,OHKOs the target. Fails if user is a lower level.,"Deals damage to the target equal to the target's maximum HP. Ignores accuracy and evasiveness modifiers. This attack's accuracy is equal to (user's level - target's level + 30)%, and fails if the target is at a higher level. Pokemon with the Sturdy Ability are immune.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Flail,"""Normal""",175,Physical,normal,0,100,0,15,More power the less HP the user has left.,"The power of this move is 20 if X is 33 to 48, 40 if X is 17 to 32, 80 if X is 10 to 16, 100 if X is 5 to 9, 150 if X is 2 to 4, and 200 if X is 0 or 1, where X is equal to (user's current HP * 48 / user's maximum HP), rounded down.",0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Flame Burst,"""Fire""",481,Special,normal,70,100,0,15,Damages Pokemon next to the target as well.,"If this move is successful, the target's ally loses 1/16 of its maximum HP, rounded down, unless it has the Magic Guard Ability.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flame Charge,"""Fire""",488,Physical,normal,50,100,0,20,100% chance to raise the user's Speed by 1.,Has a 100% chance to raise the user's Speed by 1 stage.,1,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Flame Wheel,"""Fire""",172,Physical,normal,60,100,0,25,10% chance to burn the target. Thaws user.,Has a 10% chance to burn the target.,1,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
